Depth	Area
0	54323
1	45820.61179
2	37978.78695
3	31100.11466
4	23166.89204
5	18268.52367
6	15288.1581
7	12923.77936
8	11084.77159
9	9541.592653
10	8287.398819
11	7235.420332
12	6253.48854
13	5214.396959
14	4408.096999
15	3685.041061
16	3012.093761
17	2367.329402
18	1751.540746
19	1172.143533
20	616.1191705
21	205.4845883
