Depth	Area
0	28008.76975
1	25667.17481
2	23384.09201
3	20943.67774
4	18376.41187
5	16176.35252
6	13826.44243
7	11645.18024
8	9768.804774
9	8188.970095
10	6740.993161
11	5443.920083
12	4261.943809
13	3079.096089
14	1721.205267
15	454.347143
16	22.48444941
