Depth	Area
0	24061.29499
1	22123.6285
2	20230.58975
3	18185.02934
4	15949.57497
5	13613.79424
6	11454.44147
7	9554.31255
8	7641.365511
9	5577.86462
10	3732.164902
11	2170.150159
12	420.922574
