"N2","Depth"
7.9643264263724e-05,3.2013
2.77907684053411e-05,3.695
2.33149144646215e-05,4.1976
1.7309235688083e-05,4.6959
1.5552331187217e-05,5.1968
1.51719024211165e-05,5.697
1.52157849128236e-05,6.1945
1.51200235544826e-05,6.6959
1.5158597374954e-05,7.1927
4.59787756886953e-05,7.6943
9.15751643061773e-05,8.2009
0.0001216258445241,8.7092
0.0001560026345505,9.2035
0.000214252305678419,9.7076
0.0002773457884713,10.2082
0.000310515531514428,10.704
0.000321510219103307,11.2055
0.000337518749041651,11.7046
0.000351829192997402,12.2041
0.000321206685423872,12.7026
0.000277514809277065,13.1955
0.000258348530431248,13.6949
0.00022823496908773,14.1925
0.000316224968410088,14.6757
