"N2","Depth"
0.00072039611736686,3.3028
0.000588075953793787,3.8783
0.000550635221634804,4.3828
0.000404005669513121,4.9189
0.000287367014043325,5.422
0.000116868581246142,5.7828
8.92696757021283e-05,6.1181
6.09843281470743e-05,6.5109
5.74553875141872e-05,6.8734
4.14270377773304e-05,7.2319
3.18591382684051e-05,7.5491
2.38411911021224e-05,7.8713
1.99576086809809e-05,8.1853
1.96512246303339e-05,8.4831
1.57371204611024e-05,8.8317
2.17945919643565e-05,9.2285
2.02558536392795e-05,9.6419
3.29678647174456e-05,10.0012
6.41171269644177e-05,10.3564
7.20891299561178e-05,10.6693
9.39731075959664e-05,10.9815
0.000115157573815429,11.2341
0.000125806679728222,11.4652
0.000148699981193189,11.6621
0.000200231183948294,11.8082
0.000328551886395931,11.8859
0.000590595279508043,11.9291
0.000529237364585139,11.9703
