"N2","Depth"
0.000658773009033146,3.6787
0.000499501929617282,4.1708
0.000290476198608058,4.6656
0.000124984805412814,5.1603
6.14362015781157e-05,5.6563
3.20195456813581e-05,6.1536
1.37714614936419e-05,6.6478
1.70431810003529e-05,7.1416
1.57350492088839e-05,7.634
2.27231651444271e-05,8.1263
5.99464660399928e-05,8.6189
8.19819353353485e-05,9.1138
0.000103582167887486,9.6107
0.000132987681199374,10.1079
0.000148593116714618,10.5999
0.000139043954253552,11.1493
0.000139067628033932,11.6979
0.00013752914452423,12.2492
0.000146149976968075,12.793
0.000137544937795125,13.342
