"N2","Depth"
0.00179511787775716,0.0294
0.00109147127396345,0.0383
0.00104125126269407,0.0476
0.00102511151380337,0.0571
0.00099481671768645,0.0668
0.00086838276746682,0.0779
0.000757592665981634,0.0907
0.00109327608957577,0.104
0.00127333307072274,0.1192
0.0014299408749798,0.1361
0.00148888376712013,0.1555
0.00148525656800589,0.1781
0.00144978108548752,0.2046
0.00128525431513522,0.2343
0.00127595520588385,0.2679
0.00122625139760891,0.3028
0.00124558976797742,0.337
0.00124477752517783,0.3711
0.00103863284199262,0.4029
0.000984558841352593,0.4315
0.000718971184172086,0.4576
0.00076118310420134,0.4822
0.000823806870653038,0.5049
0.00088001624918343,0.5262
0.000928111792552842,0.5464
0.000901751273329155,0.5671
0.00105393659041184,0.5892
0.000746844079641662,0.6141
0.000954129752068293,0.6433
0.000978834603155843,0.6765
0.00105133889340637,0.7118
0.00105293846143711,0.7468
0.000943805677608047,0.7809
0.000955532191575748,0.8145
0.000883931333201501,0.8456
0.000827019762773933,0.8733
0.000898911317139604,0.8987
0.00106928937108013,0.9201
0.00106512994256974,0.9372
0.000941284094133634,0.9516
0.00138102632068166,0.9647
0.0010869282558667,0.9773
0.0013490920570509,0.9908
0.00133340692570272,1.0044
0.00159020483961112,1.0186
0.00154930689103102,1.0331
0.00132058965969685,1.0468
0.00158306537301222,1.061
0.0013878783142341,1.0804
0.0015488855987089,1.1036
0.00142214146486165,1.1319
0.00162668462850538,1.1647
0.00151335855388485,1.1998
0.00153164292057883,1.2373
0.00143360785437051,1.2772
0.0014324611492534,1.317
0.00142623029504146,1.3567
0.00200347882298978,1.3956
0.00204783307039228,1.4293
0.00201390742834514,1.4592
0.00215633771706385,1.485
0.00198515159628693,1.5086
0.00228663594211522,1.5309
0.00231363464315722,1.5528
0.00247958448765426,1.5765
0.00249978121707763,1.6032
0.00246443276338616,1.6336
0.00171477362795723,1.6673
0.00403731507326453,1.7057
0.00350373744156094,1.7471
0.00325073668061262,1.7899
0.00320210797314898,1.8328
0.00312785962906018,1.8761
0.00356009777068195,1.9157
0.00484995925128591,1.952
0.0048715543879052,1.9889
0.0050012361793835,2.0255
0.004947202819427,2.0631
0.00316651364098648,2.098
0.00373910749606463,2.1315
0.00405795133694131,2.1635
0.00444392293696341,2.1929
0.00486421826426696,2.2186
0.00419434663655922,2.2464
0.00289963030096796,2.2742
0.00281235679864674,2.3003
0.00268382546012791,2.325
0.00264534124384786,2.3465
0.00270215795924374,2.3661
0.00278591095627097,2.384
0.00274923380493781,2.4008
0.00261524133987001,2.4184
0.0026464577595098,2.4366
0.00282684469977418,2.4534
0.00286018291095624,2.469
0.00280929160077181,2.4828
0.00282888191021911,2.4964
0.00267649170029063,2.5127
0.00223448519492048,2.5332
0.00222469160260874,2.5559
0.00233384128274851,2.5795
0.00230923939749671,2.603
0.00216758617119035,2.6277
0.00211335950622663,2.6528
0.002060255059036,2.6781
0.00201989428104345,2.7047
0.001973215476918,2.7315
0.00188022119734392,2.7567
0.0020327566588846,2.7785
0.00184386828274392,2.7985
0.00169647129996407,2.8174
0.00187846485378389,2.835
0.00183812773301516,2.8516
0.00183873992796123,2.868
0.00182361687440247,2.8844
0.00189767566000605,2.9001
0.00192631511637333,2.9143
0.00225806601673615,2.9263
0.00232331394746389,2.937
0.00273960932037268,2.946
0.00295065495269142,2.9536
0.00116769894229956,2.9607
0.00128823948915204,2.9687
0.00143774759032873,2.9773
0.00145419487032844,2.9857
0.00153629006995278,2.9936
0.00133312314728813,3.0012
0.00113594016772105,3.0082
0.00124269637094143,3.0147
0.000890439691648553,3.0214
0.00115943204532956,3.0282
0.00279320984919699,3.0345
0.00301977949188179,3.0391
0.00363610389904467,3.0423
0.00364972284394765,3.045
0.00251128868824983,3.0481
0.00191044508953528,3.0531
0.0014405944595433,3.0612
0.00129435498185353,3.0744
0.0012580389056555,3.094
0.00109699517440438,3.1195
0.00110754805518748,3.151
0.0010724240495422,3.1879
0.00103484763380612,3.227
0.0010857414712865,3.268
0.0010847910941789,3.3095
0.00109747893245722,3.3493
0.00110109821539343,3.3863
0.00110075055680998,3.4182
0.00110908485131289,3.4436
0.00148342575001126,3.4632
0.00150443335454852,3.4774
0.0018712027697661,3.4863
0.00185838822859345,3.4937
0.00160625580242219,3.5004
0.0014806417057234,3.5076
0.0011190801384771,3.5159
0.00102982286148282,3.526
0.000778703731751722,3.5376
0.000811869970020038,3.5502
0.000377240079393249,3.5636
0.000468433477029478,3.577
0.00054339312088943,3.5908
0.000654375541407885,3.6041
0.000628551584291856,3.6159
0.000698030307196646,3.6263
0.000774766359583491,3.6356
0.000740295392054156,3.6438
0.000964540659951865,3.6512
0.000796762054068323,3.6586
0.00094768147915286,3.666
0.000775317469614359,3.6735
0.000609937549424448,3.6811
0.000434511944426329,3.6889
0.00040019403824814,3.6973
0.000398194486306421,3.7058
0.000386608767503021,3.7145
0.000404214646882581,3.7227
0.0002959221133862,3.7302
0.000325319831037717,3.737
0.000172942816447853,3.7499
0.000168934774881706,3.7564
0.000158424987635644,3.7634
0.000295164433832472,3.7709
0.000278390157200981,3.7788
0.000375543555964242,3.7876
0.000482126035877494,3.7967
0.000431550308519727,3.8067
0.0004966815886678,3.8174
0.000582569472993292,3.8283
0.000477591271981858,3.8392
0.000492180979031693,3.8498
0.000518790779335369,3.8596
0.000460566402605279,3.8685
0.000375988069544451,3.8766
0.000292755990875783,3.8835
0.000297724521690589,3.8902
0.000293535953651549,3.897
0.000286509023085574,3.904
0.000392063180285628,3.9116
0.000382710332170454,3.9194
0.000468487110739822,3.9277
0.000595471908502063,3.936
0.000579604787624687,3.9443
0.000306081821763993,3.9536
0.000246729544820494,3.9651
0.000217396840960208,3.9781
0.0002114980564838,3.9914
0.000211317805364672,4.0046
0.000229547761151493,4.0167
0.000322596127863269,4.028
0.000257671840755112,4.0386
0.00024625754128128,4.0496
0.000246258471356322,4.0605
0.000437790110081813,4.0707
0.000532153705273633,4.0789
0.000492489093284109,4.086
0.000524490305056222,4.0926
0.000531114016927913,4.0991
0.000452548288320554,4.1066
0.0003778164292806,4.1156
0.000420987664330366,4.1255
0.000313279110470322,4.136
0.000372564393161628,4.147
0.000372927204409767,4.1579
0.000375768202741431,4.1686
0.0004003616999951,4.1785
0.000473918501018104,4.1883
0.000381326778833082,4.1983
0.000401773556605068,4.2077
0.000343318577576797,4.2164
0.000376143048804317,4.2243
0.000429733923202761,4.2312
0.000333029362994861,4.2378
0.000417417242925838,4.2447
0.000364525437456858,4.2525
0.000312637349374287,4.2614
0.000290975337945675,4.271
0.000289833068620823,4.2805
0.000218446264324305,4.2898
0.000218203147125686,4.2991
0.000221334536300466,4.3082
0.000211204373792037,4.3175
0.000244083949180164,4.3282
0.000163998851132507,4.34
0.000204267288218693,4.3526
0.000198445721752225,4.3654
0.000201526112395606,4.3779
0.00024695768481228,4.3904
0.000235101884883831,4.4034
0.000269767267213323,4.4167
0.000207549080860268,4.4308
0.000202049788648126,4.4451
0.000172768434571387,4.4582
0.00019425832077372,4.4697
0.000168562312678531,4.4795
0.00019784485806819,4.4878
7.4285442232813e-05,4.4951
8.64903037613262e-05,4.5014
0.000103642711617896,4.5066
0.000127357627107161,4.5108
0.000161985733347715,4.5141
0.000194491815565196,4.5168
0.000508517274396079,4.5282
0.000237046438998125,4.5305
0.000116266794806737,4.535
7.45469934436401e-05,4.5421
5.24559934202944e-05,4.5522
3.91268750580155e-05,4.5657
0.000122870839804256,4.5826
0.000105657300528954,4.602
0.000112635067636131,4.6243
7.9511870953452e-05,4.6492
7.1752709375913e-05,4.6763
8.24912701558293e-05,4.7052
8.29946470449515e-05,4.7335
8.57227421507433e-05,4.7602
9.18377010902223e-05,4.7846
0.000102837898911745,4.8059
9.57562260219177e-05,4.8239
0.00010603584804029,4.8398
9.30269993326762e-05,4.8532
0.000106217160353345,4.8648
8.49708861290769e-05,4.8743
4.66637743569395e-05,4.8829
4.68153845541759e-05,4.8913
3.18507488174433e-05,4.9576
3.11630241896133e-05,4.9703
2.92204860372808e-05,4.9837
5.98769326431169e-05,4.9967
6.6851461215421e-05,5.0083
0.000147847270150762,5.0186
0.000205785558387581,5.0276
0.000228811757788321,5.0355
0.0002350249719511,5.043
0.000219980177853237,5.0507
0.000133641002897292,5.0607
0.00013637152450841,5.0725
0.000108797355069007,5.0869
7.56154104165437e-05,5.1029
6.63327006383466e-05,5.1206
4.81804238746388e-05,5.1385
3.21907088836645e-05,5.156
1.25602575065767e-05,5.1991
1.25105349426986e-05,5.2213
2.86492836801749e-05,5.2404
1.45957558709501e-05,5.259
1.41158440634606e-05,5.2781
2.60945782443208e-05,5.2986
0.000179794168611572,5.3223
0.000150214111311267,5.3488
0.000141511745366585,5.377
0.000185005344013643,5.4025
0.000182318692235796,5.427
0.000186418594365204,5.4509
0.000182929476544779,5.4763
0.000178723186412147,5.5021
0.000186627095470989,5.5267
0.000177462413193408,5.5512
3.53669192376529e-05,5.5742
3.29493346425295e-05,5.5979
2.9481141614523e-05,5.6233
1.91032909407959e-05,5.6516
2.13365220410844e-05,5.6839
1.8527622823102e-05,5.7195
8.58355520619732e-06,5.7565
8.16415996499401e-06,5.7944
7.58591450801746e-06,5.8341
7.51638153400002e-06,5.8732
3.76256334972184e-06,5.9113
3.96621826332945e-06,5.947
8.55529532031702e-06,5.9793
9.43111293127495e-06,6.0079
5.48818773045885e-06,6.0319
6.31122815590359e-06,6.0524
1.69912182613441e-05,6.1316
1.18616294791892e-05,6.1428
7.59406933977589e-06,6.1598
5.23552478840404e-06,6.1842
0.000122047438397932,6.2158
0.000105619500630043,6.2534
9.32172084553057e-05,6.2959
9.07846604174639e-05,6.3395
9.01710488090457e-05,6.3833
8.61890479408475e-05,6.4278
8.46765985269261e-05,6.4731
8.17178618130659e-05,6.5199
8.57950989260436e-05,6.5646
9.65494325726552e-05,6.6042
2.84408955011163e-06,6.6388
0.000427592739049863,8.016
0.000424170281904444,8.0247
0.000144150129800744,8.144
0.00014406804647614,8.1699
0.000138064597897631,8.1969
0.000136967960938059,8.28
0.000158918323567743,8.3027
0.000184526399259343,8.3223
0.00021904834284209,8.3393
0.00024655570362625,8.3544
