"N2","Depth"
1.02372420739927e-05,2.6037
1.85879820531195e-05,3.0564
2.09083080910199e-05,3.4586
3.15421827252019e-05,3.8582
3.56153350212015e-05,4.2117
4.76506201604521e-05,4.5636
9.64962204560917e-05,4.9104
0.000190444049339614,5.2603
0.000189329686743241,5.6103
0.000364400765195788,5.9596
0.00046064568888133,6.259
0.00086475312405324,6.554
0.00114098978112215,6.9019
0.00130035550803474,7.2546
0.00126027562303308,7.6555
0.00132098044413455,8.0517
0.00135384409302031,8.4003
0.00126723219148472,8.7521
0.00105336281312058,9.1538
0.000982476929914222,9.508
