Lake,Date,Collector,Depth,Device,Measurement,Value,Units,Comment,Flag,QC
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Molybdenum,0.03,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Molybdenum,0.025,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Molybdenum,0.017,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Molybdenum,0.015,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Molybdenum,0.013,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Molybdenum,0.018,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Molybdenum,0.014,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Molybdenum,0.014,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Molybdenum,0.013,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Molybdenum,0.015,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Molybdenum,0.017,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Molybdenum,0.023,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Molybdenum,0.028,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Molybdenum,0.031,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Molybdenum,0.033,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Molybdenum,0.036,microgramsPerLiter,,,0.006
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Molybdenum,0.018,microgramsPerLiter,,,0.006
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Molybdenum,0.019,microgramsPerLiter,,,0.006
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Molybdenum,0.019,microgramsPerLiter,,,0.006
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Molybdenum,0.016,microgramsPerLiter,,,0.006
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Cadmium,0.004,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Cadmium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Cadmium,0.005,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Cadmium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Cadmium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Cadmium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,BQL,0.001
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,BQL,0.001
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,BQL,0.001
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,BQL,0.001
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,BQL,0.001
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Cadmium,0.001,microgramsPerLiter,,,0.001
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Cadmium,0.002,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Cadmium,0.002,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Cadmium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Antimony,0.037,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Antimony,0.03,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Antimony,0.027,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Antimony,0.028,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Antimony,0.018,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Antimony,0.019,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Antimony,0.018,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Antimony,0.019,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Antimony,0.022,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Antimony,0.034,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Antimony,0.024,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Antimony,0.028,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Antimony,0.028,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Antimony,0.031,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Antimony,0.035,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Antimony,0.033,microgramsPerLiter,,,0.004
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Antimony,0.023,microgramsPerLiter,,,0.004
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Antimony,0.037,microgramsPerLiter,,,0.004
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Antimony,0.031,microgramsPerLiter,,,0.004
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Antimony,0.028,microgramsPerLiter,,,0.004
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Tellurium,0.01,microgramsPerLiter,,BQL,0.01
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Cesium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Cesium,0.001,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Cesium,0.001,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Cesium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Cesium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Cesium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Cesium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Cesium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Cesium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Cesium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Cesium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Cesium,0.005,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Cesium,0.005,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Cesium,0.006,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Cesium,0.006,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Cesium,0.006,microgramsPerLiter,,,0.001
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Cesium,0.001,microgramsPerLiter,,,0.001
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Cesium,0.002,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Cesium,0.002,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Cesium,0.004,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Barium,2.404,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Barium,2.248,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Barium,1.744,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Barium,5.775,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Barium,12.083,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Barium,2.853,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Barium,1.515,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Barium,3.493,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Barium,7.124,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Barium,11.802,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Barium,25.882,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Barium,83.623,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Barium,174.861,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Barium,227.881,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Barium,250.152,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Barium,258.093,microgramsPerLiter,,,0.017
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Barium,4.235,microgramsPerLiter,,,0.017
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Barium,11.573,microgramsPerLiter,,,0.017
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Barium,3.782,microgramsPerLiter,,,0.017
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Barium,6.621,microgramsPerLiter,,,0.017
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Lanthanum,0.003,microgramsPerLiter,,BQL,0.003
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Lanthanum,0.003,microgramsPerLiter,,BQL,0.003
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Lanthanum,0.003,microgramsPerLiter,,BQL,0.003
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Lanthanum,0.012,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Lanthanum,0.003,microgramsPerLiter,,BQL,0.003
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Lanthanum,0.003,microgramsPerLiter,,BQL,0.003
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Lanthanum,0.005,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Lanthanum,0.015,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Lanthanum,0.017,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Lanthanum,0.026,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Lanthanum,0.045,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Lanthanum,0.091,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Lanthanum,0.173,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Lanthanum,0.274,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Lanthanum,0.333,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Lanthanum,0.357,microgramsPerLiter,,,0.003
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Lanthanum,0.003,microgramsPerLiter,,BQL,0.003
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Lanthanum,0.048,microgramsPerLiter,,,0.003
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Lanthanum,0.062,microgramsPerLiter,,,0.003
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Lanthanum,0.152,microgramsPerLiter,,,0.003
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Cerium,0.004,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Cerium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Cerium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Cerium,0.015,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Cerium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Cerium,0.012,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Cerium,0.017,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Cerium,0.029,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Cerium,0.044,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Cerium,0.061,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Cerium,0.103,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Cerium,0.207,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Cerium,0.394,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Cerium,0.594,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Cerium,0.703,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Cerium,0.756,microgramsPerLiter,,,0.001
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Cerium,0.005,microgramsPerLiter,,,0.001
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Cerium,0.11,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Cerium,0.097,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Cerium,0.377,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Praesodymium,0.0007,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Praesodymium,0.0006,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Praesodymium,0.0003,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Praesodymium,0.0032,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Praesodymium,0.0008,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Praesodymium,0.0015,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Praesodymium,0.0024,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Praesodymium,0.0036,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Praesodymium,0.0054,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Praesodymium,0.0072,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Praesodymium,0.0129,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Praesodymium,0.0266,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Praesodymium,0.052,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Praesodymium,0.0774,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Praesodymium,0.091,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Praesodymium,0.0972,microgramsPerLiter,,,0.0002
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Praesodymium,0.0007,microgramsPerLiter,,,0.0002
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Praesodymium,0.0123,microgramsPerLiter,,,0.0002
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Praesodymium,0.0167,microgramsPerLiter,,,0.0002
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Praesodymium,0.0409,microgramsPerLiter,,,0.0002
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Neodymium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Neodymium,0.003,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Neodymium,0.001,microgramsPerLiter,,BQL,0.001
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Neodymium,0.012,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Neodymium,0.004,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Neodymium,0.007,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Neodymium,0.011,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Neodymium,0.015,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Neodymium,0.025,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Neodymium,0.032,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Neodymium,0.056,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Neodymium,0.125,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Neodymium,0.245,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Neodymium,0.359,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Neodymium,0.42,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Neodymium,0.454,microgramsPerLiter,,,0.001
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Neodymium,0.003,microgramsPerLiter,,,0.001
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Neodymium,0.056,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Neodymium,0.07,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Neodymium,0.168,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Samarium,0.001,microgramsPerLiter,,BQL,0.001
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Samarium,0.001,microgramsPerLiter,,BQL,0.001
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Samarium,0.001,microgramsPerLiter,,BQL,0.001
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Samarium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Samarium,0.001,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Samarium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Samarium,0.002,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,8,iCap-Q,Dissolved Samarium,0.004,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,9,iCap-Q,Dissolved Samarium,0.005,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,10,iCap-Q,Dissolved Samarium,0.007,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,11,iCap-Q,Dissolved Samarium,0.013,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,12,iCap-Q,Dissolved Samarium,0.026,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,13,iCap-Q,Dissolved Samarium,0.055,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,14,iCap-Q,Dissolved Samarium,0.076,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,15,iCap-Q,Dissolved Samarium,0.089,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,16,iCap-Q,Dissolved Samarium,0.094,microgramsPerLiter,,,0.001
Arco,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Samarium,0.001,microgramsPerLiter,,BQL,0.001
Arco,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Samarium,0.012,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,1,iCap-Q,Dissolved Samarium,0.015,microgramsPerLiter,,,0.001
Budd,6/20/19,Elizabeth Swanner,10,iCap-Q,Dissolved Samarium,0.033,microgramsPerLiter,,,0.001
Deming,6/19/19,Elizabeth Swanner,1,iCap-Q,Dissolved Europium,0.0003,microgramsPerLiter,,BQL,0.0003
Deming,6/19/19,Elizabeth Swanner,2,iCap-Q,Dissolved Europium,0.0003,microgramsPerLiter,,BQL,0.0003
Deming,6/19/19,Elizabeth Swanner,3,iCap-Q,Dissolved Europium,0.0003,microgramsPerLiter,,BQL,0.0003
Deming,6/19/19,Elizabeth Swanner,4,iCap-Q,Dissolved Europium,0.0008,microgramsPerLiter,,,0.0003
Deming,6/19/19,Elizabeth Swanner,5,iCap-Q,Dissolved Europium,0.0005,microgramsPerLiter,,,0.0003
Deming,6/19/19,Elizabeth Swanner,6,iCap-Q,Dissolved Europium,0.0004,microgramsPerLiter,,,0.0003
Deming,6/19/19,Elizabeth Swanner,7,iCap-Q,Dissolved Europium,0.0006,microgramsPerLiter,,,0.0003
